Category,question,answer
Chat,Using Jabber Softphone on an iOS Device,"Using the softphone feature, you can easily place, receive, and manage telephone calls using your computer or mobile device and an internet connection. University IT provides support for a softphone through the Jabber application, allowing you to simulate your nory telephone using your iOS device.
The Jabber softphone feature is also available for Windows and Mac computers and Android mobile devices.
Place a call
You can place a softphone call in three ways:
USING YOUR CONTACTS LIST

Tap  in the Jabber hub.
Tap the  next to the appropriate contact’s name.
Tap the Call button.The call is placed to the person’s nory telephone number.

For details on adding contacts to your Contacts list, see Managing Contacts.
SEARCHING THE nory JABBER DIRECTORY

Tap  in the Jabber hub.
Type the person’s name in the Jabber hub Search or call field.
Tap the  next to the appropriate contact’s name in the search results.
Tap the Call  button.The call is placed to the person’s nory telephone number.

TYPING THE TELEPHONE NUMBER 

Tap  in the Jabber hub.
Tap in the Search or call field.
Tap .
Type the person’s phone number in the Jabber hub Search or call field.
Tap  below the Search or call field.The call is placed to the entered telephone number.

Receive a call
You must be logged in to the Jabber application to receive a call using your softphone. Settings affect a telephone number regardless if they are set on your desk phone or your softphone. So, for example, if your forward your desk phone to voicemail, your softphone is also forwarded to voicemail and you will not receive calls. Changing the setting on one also changes the setting on the other.
When you receive an incoming call, you’ll see a call window open on your device screen.

Tap Accept to accept the call.
Tap Decline to forward the call to voicemail.

Forward and unforward calls
Forwarding sends calls coming to your nory phone number to your nory voicemail or any other phone number you choose. Unforwarding your calls make them ring on both your desk phone and softphone (when active). Forwarding or unforwarding your calls on your desk phone or softphone affects both phones.
FORWARDING YOUR CALLS

Tap  in the Jabber hub (top left).
Tap Settings.
Tap Call Forwarding.
Tap New Number.
Tap Forward To.
Enter a phone number, including 9, 1, area code and seven-digit phone number (e.g., 914159876543) and tap Done.

UNFORWARDING YOUR CALLS

Tap  in the Jabber hub (top left).
Tap Settings.
Tap Call Forwarding.
Tap Do Not Forward Calls.

Place a call on hold

Tap  in the active call window.
Tap Hold.The call is placed on hold. Click Resume to resume the call.

Note: When you place someone on hold, they will hear music. If you are on a conference call and answer a second line, the conference call is placed on hold and the conference attendees hear the hold music.
Transfer a call
Transferring allows you to transfer a call from your softphone to any other phone on the nory system.

Tap  in the active call window.
Tap Transfer.
Type the name of the person or the phone number to which you want to transfer the call in the Search or call field.
Tap the person or number when it appears in the search list.This places the active call on hold. You are connected to that number.
Tap Transfer to complete the transfer.
Tap  to end your participation in the call."
Chat,nory Children's Health: How to Sign In to Jabber,"Internet connection
We recommend that users connect to Jabber via the wired SCH network. If the user chooses to connect via Wi-Fi, please select LPCH_WLANg-v1. If the user connects to any other network other than LPCH_WLANg-v1, they will only see their contacts’ login IDs instead of their contacts' names.

Sign in

If Jabber isn't already running, double-click the Cisco Jabber icon on your desktop or click the Start button > All Programs (or All apps) > Cisco Jabber > Cisco Jabber.
Enter your login ID@norychildrens.org and password. Click Sign In.
If you want Jabber to launch when your computer starts, click the the gear icon in the upper right corner .  Go to Settings > General. 
Select the box next to Start Cisco Jabber when my computer starts and click OK.​"
Chat,How to Enable Screen Sharing in Jabber,"Availability
nory UNIVERSITYnory HOSPITAL AND CLINICSnory CHILDREN'S HOSPITALOnly available during video callAvailable *Available *
 
* Screen sharing can be initiated in a chat window or through a video call. Instant Messaging screen share is only available if both participants are connected to the corporate network (wired, through wifi, or through VPN). If one participant is not connected through the corporate network, you will need to establish a video call to make screen sharing available.
Windows screen sharing
Initiate a call to one of your contacts.From the call window, click the screen share icon .To stop screen sharing, click the Stop button .
Mac screen sharing
Initiate a call to one of your contacts.From the call window, click the share screen icon at the bottom .To stop screen sharing, click the Stop button."
Chat,Jabber for Windows Softphone Preferences,"Set your speaker and microphone preferences
Jabber doesn't always remember your headphone device so you may have to check your audio settings periodically.

In the Jabber hub, click the gear icon in the upper-right side and then click Settings. 
Click Audio to display the ringer, speaker and microphone options. 
Select your preferences and then click OK.

Set your video preference for calls
The default setting is to always start calls with video but you can turn this off.

In the Jabber hub, click the gear icon in the upper-right side and then click Settings > Calls. 
Select Never start calls with video and then click OK."
Chat,Jabber for Mac Softphone Preferences,"Set your audio preferences
Jabber doesn't always remember your headphone device so you may have to check your audio settings periodically.

On the Jabber menu, click Preferences. 
In the toolbar, click Audio/Video. Select your ringer, audio call output, and microphone preferences.

Set your video preference for calls
The default setting is to always start calls with video but you can turn this off.

On the Jabber menu, click Preferences. 
In the toolbar, click Calls. Under the General tab, uncheck the box for Always start my calls with video."
Chat,Using Jabber Chat with Windows,"Using the chat feature, you can instant message with an individual colleague or a group of colleagues.
Chat basics
CHAT WINDOW

Chat windows contain:

the search or call field,
tabs for multiple chats,
contact and their availability state, 
chat controls and collaboration controls.

CHAT CONTROLS

Use chat controls to (L–R):

send a file,
send a screen capture,
edit the font,
insert an emoticon,
add a mention.

COLLABORATION CONTROLS

Chat windows can also include controls to (L–R):

call the contact,
create a new contact,
start a video meeting,
share screen,
open roster.

Start an individual chat
To start a chat:

Click  in the hub window.
Using the mouse, hover over the name of the contact with whom you want to chat.
Click . 

You can also search by name, click the contact name, and then click .
Create and use an ad hoc group chat
An ad hoc group chat lets multiple people simultaneously share chat messages. All participants receive messages sent from any participant in the ad hoc group chat. The group chat ends when all participants are offline.
When in an individual chat, you can create an ad hoc group chat by adding other online participants. Participants must be online to be added to an ad hoc group chat. You cannot create an ad hoc group chat with offline participants.
To create an ad hoc group chat:

Open an individual chat with another online participant.
In the Collaboration Controls toolbar (upper right-hand corner of the chat window), click .
Click Add People.The Start Group Conversation window opens.
In the People: field, type the name of an additional person you’d like to add to the group chat and select them by clicking on their name when it appears in the search results. Repeat this step until all participants appear in the People: field. Alternatively, you may select among your more recent contacts listed below the People: field.
Click Start Group Chat.You can start chatting with the group in the same way you do with an individual chat.

Create and use a persistent group chat
A persistent chat group is enduring, unlike an ad hoc group. They are always available, whether on not all participants are online. They can be private (i.e., limited to just the people invited by the owner) or public (i.e., accessible to anyone who wants to join).
See How to Request a Persistent Chat Room for more details.

Once your persistent chat room is created, you can click  in the Jabber hub.
Double click on the room you want to use.You can start chatting with the chat room members in the same way you do with an individual chat.

Chatting with people from other nory affiliations
You can use Jabber to chat with colleagues regardless of whether they are part of the university, nory Health Care (SHC) or nory Children’s Health (SCH). The procedures are a little different depending on your primary affiliation and the affiliation of the colleague.
See Chatting with People from Other nory Affiliations for more details and instructions."
Chat,Install Jabber on an iOS Device,"The Cisco Jabber app allows you to chat and collaborate with your co-workers from your iPhone or iPad.
For best results and access to the latest features, your mobile device should be running the latest iOS version. Check the Apple App Store to ensure that the Jabber client is updated to the latest version. Those with a University-owned device are required to have MDM installed.
Installation

On your iOS device, get the Cisco Jabber app.(Alternatively, you can tap App Store on your device and then search for Cisco Jabber.
Tap Get and then Install.
Sign in to the iTunes Store if you are prompted to do so and then tap OK. 
When the app has finished installing, tap Open. (Or, launch the Jabber app from the Home screen.)
When the message to allow Jabber to access your contacts displays, tap OK.
When the message asks if you would like to use Jabber with Siri, tap OK or Don't Allow depending on your preference.
When the message to allow Jabber to send you notifications displays, tap Allow.
Read the notices and license terms and tap Accept.
Swipe left and then tap Get Started Now on the next screen.
A message displays asking you to let Jabber access the microphone. Tap OK.

Sign in

Type in your SUNet ID@nory.edu (University affiliates), your SID@norymed.org (nory Health Care affiliates), or your login ID@lpch.org (nory Children's Health affiliates) and tap Continue.
For nory University affiliates, the WebLogin screen appears. Enter your SUNet ID and your SUNet ID password and tap Login. Two-step authentication may also be required. nory Children's Health and nory Health Care affiliates will be prompted to enter their password.

Sign out

Tap the icon in the top left-hand corner of the screen.
Tap Sign Out.​​"
Chat,nory Health Care: How to Install Jabber for Windows,"Jabber brings secure online chat to your computer. 
Internet connection
We recommend that users connect to Jabber via the wired SHC network. If users with laptops or other portable devices choose to connect via Wi-Fi, please select SHCMed-WLAN for initial setup.

Installation
To install Jabber, contact the SHC Service Desk at 33333.
Sign in

If Jabber isn't already running, double-click the Cisco Jabber icon on your desktop or choose the Start button > All Programs (or All apps) > Cisco Jabber > Cisco Jabber.
Enter your SID@norymed.org and your SID password.  To automatically sign in when Jabber starts, select Automatic sign-in. Click Sign in.

Sign out

Click on your profile icon in the upper left-hand corner and then click Sign out.​"
Chat,Install Jabber on an Android Device,"The Cisco Jabber app allows you to chat and collaborate with your co-workers from your Android.
For best results and access to the latest features, your mobile device should be running the latest Android version. Check the Google Play Store to ensure the Jabber client  is updated to the latest version. Those with a University-owned device are required to have MDM installed.
Installation

On your Android, install Cisco Jabber. (Alternatively, you can tap Play Store on your device and then search for Cisco Jabber.
Tap Install. 
Tap Accept to allow Jabber to access the features listed.
After the installation has completed, tap Open.
You may be asked if you want to create a shortcut to Jabber on your home screen. Tap Cancel or OK.  
Read the notices and license terms and tap Accept. ​
Swipe left and and tap Get Started on the next screen. 

Sign in

Type in your SUNet ID@nory.edu (University affiliates), your SID@norymed.org (nory Health Care affiliates), or your login ID@lpch.org (nory Children's Health affiliates) and tap Continue. .  
For nory University affiliates, the WebLogin screen displays. Enter your SUNet ID and password and tap Login. Two-step authentication may also be required. nory Children's Health  and nory Health Care affiliates will be prompted to enter their password.

Sign out

Tap the hamburger menu in the top left-hand corner of the screen.  
Tap Sign out, located below Settings and to the right of Accounts."
Chat,Jabber Basics: iOS,"Familiarizing yourself with some of the Jabber basics will help you better understand some of the terminology in the feature instructions and get the most out of the tool.
Navigating the Jabber Hub


Status message
Search bar
Contacts
Chats
Chat rooms
Recent calls
Phone controls
Custom groups

Managing contacts
Contacts and contact lists let you easily organize and access contact information in your Jabber hub for those colleagues you communicate with often. 
ADDING A NEW CONTACT
To add a new contact to your Jabber hub:


Tap .
Tap .
Tap Add Contacts.
In the search field of the Add Contacts window, type the name of the nory person you want to add as a contact.Search results will appear. (It is best to type the name as completely as possible.)


 

Tap the name of the person you want to add as a contact.
Tap the Assign to Group menu, select the personal group to which you’d like to add the contact. When done, tap < Add Contact to return to the Add Contacts window.See Creating a New Contact Group (below) for information on creating personal contact groups.
Tap Done.The new contact appears in your Jabber hub (if they are currently logged in) under the appropriate contact group. 

CREATING A NEW CONTACT GROUP
You can create customized contact list groups (e.g., My team, Project A team) under which you can organize your contacts. Contacts can appear in multiple contact list groups.
To create a new contact list group:

Tap .
Tap .
Tap Create Group.
Type the name contact list group name you’d like in the Create a new group window.
Tap Create.The new contact list group appears in your Jabber hub under Contacts.

VIEW A CONTACT’S PROFILE

Tap  in the Jabber hub.
Tap  next to the name of the person for whom you want to display a profile.The contact’s status window opens. The profile shows the contact’s email address, phone number, and availability status. Tap the buttons to call or chat with the contact.


Managing presence
Presence lets your colleagues know when your are, and are not, available. Your colleagues can see your status through your status message in their Jabber hub.
MANUALLY CHANGING YOUR STATUS MESSAGE
By default, your status message is set to Available. To change your status message:

Tap .The Jabber settings navigation drawer appears.
Tap  again on the navigation drawer.
Tap to select among the available options.Your status is changed to that option.

ADDING A CUSTOM STATUS MESSAGE
You can add other status messages to the default list. To add a custom status message:

Tap .The Jabber settings navigation drawer appears.
Tap  again on the navigation drawer.
Tap Add Custom Status.
Type the custom status you’d like and tap the default color status setting you’d like to associate with it.
Tap Save.The new custom status becomes your current status and is available in the future as a default option in the My Status options."
Chat,Using Jabber Softphone with Windows,"Using the softphone feature, you can easily place, receive, and manage telephone calls using your computer or mobile device and an internet connection. University IT provides support for a softphone through the Jabber application, allowing you to simulate your nory telephone using your Windows computer.
The Jabber softphone feature is also available for Mac computers, and iOS and Android mobile devices.




Something to consider before getting started
The audio quality of a softphone connection — both what you hear and what the other person hears — is impacted by the microphone and speakers you are using. While most modern computers come with built-in microphones and speakers, you might want to invest in a high-quality headset to improve the audio quality. A headset can also reduce surrounding noise and increase privacy. Headset recommendation.




Place a call
You can place a softphone call in three ways:
USING YOUR CONTACTS LIST

Click  in the Jabber hub.
Hover over the appropriate contact’s name and click .The call is placed to the person’s nory telephone number.

For details on adding contacts to your Contacts list, see Managing Contacts.
SEARCHING THE nory JABBER DIRECTORY

Type the person’s name in the Jabber hub Search or call field.It is best to type the name as completely as possible since Jabber will only display the first 15 matches.
Hover over the appropriate contact’s name in the search results and click.The call is placed to the person’s nory telephone number.

TYPING THE TELEPHONE NUMBER 

Type the person’s phone number in the Jabber hub Search or call field.Important: When entering a non-nory number, you must enter a 9 first, then the rest of the number as you would from a telephone (e.g., 916509871234). With nory telephone numbers, you can dial the last five digits or the full seven or ten digit number.
Click next to the Search or call field.The call is placed to the entered telephone number.

Receive a call
You must be logged in to the Jabber application to receive a call using your softphone. Settings affect a telephone number regardless if they are set on your desk phone or your softphone. So, for example, if your forward your desk phone to voicemail, your softphone is also forwarded to voicemail and you will not receive calls. Changing the setting on one also changes the setting on the other.
When you receive an incoming call, you’ll see a call window open on your computer screen.

Click Answer to accept the call.
Click Decline to forward the call to voicemail.
Click Chat reply to start a chat with the caller.

Forward and unforward calls
Forwarding sends calls coming to your nory phone number to your nory voicemail or any other phone number you choose. Unforwarding your calls make them ring on both your desk phone and softphone (when active). Forwarding or unforwarding your calls on your desk phone or softphone affects both phones.
FORWARDING YOUR CALLS

Click the Call Settings icon  in the Jabber hub (bottom left).
Scroll to Forward Calls and either:

Select Voicemail to forward your calls to voicemail.
Select among the listed numbers (numbers to which you’ve recently forwarded your calls).
Select New Number to enter another phone number.Enter a phone number, including 9, 1, area code and seven-digit phone number (e.g., 914159876543) and click Forward.



UNFORWARDING YOUR CALLS

Click  in the Jabber hub (bottom left).
Scroll to Forward Calls: and select None from the drop down menu.

Place a call on hold

Click  in the active call window.
Select Hold.The call is placed on hold. Click Resume to resume the call.

Note: When you place someone on hold, they will hear music. If you are on a conference call and answer a second line, the conference call is placed on hold and the conference attendees hear the hold music.
Transfer a call
Transferring allows you to transfer a call from your softphone to any other phone on the nory system.

Click  in the active call window.
Select Transfer.This places the active call on hold.
Type the name of the person or the phone number to which you want to transfer the call in the search box.
Select the person or number when it appears in the search list.You are connected to that number.
Press Transfer to complete the transfer.
Click ."
Chat,Integrate Your Calendar with Jabber,"You can integrate your Office 365 calendar with Jabber. This lets you access all your events from the Meetings tab in Jabber.
Note: You must use the Outlook desktop calendar. The integration does not work with your webmail calendar.
Windows

Click   in the upper-right corner of the Jabber hub and then navigate to Settings > Calendar. 
 In the Calendar integration section, select Microsoft Outlook and click OK. 
 Click  and then click  Sign out to restart Jabber and apply the changes.

Mac

In the Jabber menu, click Preferences and then click the Meetings tab. 
For Calendar integration, select Microsoft Outlook.
In the Jabber menu, click Sign Out to restart Jabber and apply the changes.

iOS and Android devices
The first time you launch Jabber you'll get a notification asking to integrate your device calendar with Jabber. After you accept the notification, you can see two days of events — the current day and the next day — in the Meetings tab.
If you did not choose to integrate your device calendar with Jabber, you can enable it later by going to the Settings app and enabling calendar access for Jabber."
Chat,nory Health Care: How to Install Jabber for Windows,"Jabber brings secure online chat to your computer. 
Internet connection
We recommend that users connect to Jabber via the wired SHC network. If users with laptops or other portable devices choose to connect via Wi-Fi, please select SHCMed-WLAN for initial setup.

Installation
To install Jabber, contact the SHC Service Desk at 33333.
Sign in

If Jabber isn't already running, double-click the Cisco Jabber icon on your desktop or choose the Start button > All Programs (or All apps) > Cisco Jabber > Cisco Jabber.
Enter your SID@norymed.org and your SID password.  To automatically sign in when Jabber starts, select Automatic sign-in. Click Sign in.

Sign out

Click on your profile icon in the upper left-hand corner and then click Sign out.​"
Chat,Integrate Your Calendar with Jabber,"You can integrate your Office 365 calendar with Jabber. This lets you access all your events from the Meetings tab in Jabber.
Note: You must use the Outlook desktop calendar. The integration does not work with your webmail calendar.
Windows

Click   in the upper-right corner of the Jabber hub and then navigate to Settings > Calendar. 
 In the Calendar integration section, select Microsoft Outlook and click OK. 
 Click  and then click  Sign out to restart Jabber and apply the changes.

Mac

In the Jabber menu, click Preferences and then click the Meetings tab. 
For Calendar integration, select Microsoft Outlook.
In the Jabber menu, click Sign Out to restart Jabber and apply the changes.

iOS and Android devices
The first time you launch Jabber you'll get a notification asking to integrate your device calendar with Jabber. After you accept the notification, you can see two days of events — the current day and the next day — in the Meetings tab.
If you did not choose to integrate your device calendar with Jabber, you can enable it later by going to the Settings app and enabling calendar access for Jabber."
Chat,Install Jabber on an Android Device,"The Cisco Jabber app allows you to chat and collaborate with your co-workers from your Android.
For best results and access to the latest features, your mobile device should be running the latest Android version. Check the Google Play Store to ensure the Jabber client  is updated to the latest version. Those with a University-owned device are required to have MDM installed.
Installation

On your Android, install Cisco Jabber. (Alternatively, you can tap Play Store on your device and then search for Cisco Jabber.
Tap Install. 
Tap Accept to allow Jabber to access the features listed.
After the installation has completed, tap Open.
You may be asked if you want to create a shortcut to Jabber on your home screen. Tap Cancel or OK.  
Read the notices and license terms and tap Accept. ​
Swipe left and and tap Get Started on the next screen. 

Sign in

Type in your SUNet ID@nory.edu (University affiliates), your SID@norymed.org (nory Health Care affiliates), or your login ID@lpch.org (nory Children's Health affiliates) and tap Continue. .  
For nory University affiliates, the WebLogin screen displays. Enter your SUNet ID and password and tap Login. Two-step authentication may also be required. nory Children's Health  and nory Health Care affiliates will be prompted to enter their password.

Sign out

Tap the hamburger menu in the top left-hand corner of the screen.  
Tap Sign out, located below Settings and to the right of Accounts."
Chat,Update Jabber - Mac,"Follow the instructions below to upgrade the Cisco Jabber software on a Mac.

Open Cisco Jabber.
Click Jabber -> Check for Updates.
If you are using the most recent version of Cisco Jabber, you will see a message that indicates so.


4. If not, you will be offered the opportunity to upgrade. Click Install Update.
5. After the file downloads, click Close Application and Install.

6. When prompted, enter your password. Cisco Jabber completes the installation.
7. Reopen the application when the installation is complete.
Multiline
If your account has been configured to use the Multiline feature, you will a new dropdown box in the bottom left of your Jabber Hub that shows your available phone lines, and you can view your call history by each line. See the Jabber Multline webpage for more details."
Chat,Using Jabber Softphone on an Android Device,"Using the softphone feature, you can easily place, receive, and manage telephone calls using your computer or mobile device and an internet connection. University IT provides support for a softphone through the Jabber application, allowing you to simulate your nory telephone using your iOS device.
The Jabber softphone feature is also available for Windows and Mac computers and iOS mobile devices.
Place a call
You can place a softphone call in three ways:
USING YOUR CONTACTS LIST

On the Jabber home page, tap Contacts.
On the Contacts page, tap the name of the person you want to call.
Tap the Phone icon to the right of the contact name.
The persons's contact information displays. Tap the phone number to place the call.The call is placed to the person’s nory telephone number.

SEARCHING THE nory JABBER DIRECTORY

On the Jabber home page, tap Contacts.
On the Contacts page, tap the Search icon in the upper-right corner.
Enter the person's name in the Search or call field.
Tap the call icon to the right of the name.
The persons's contact information displays. Tap the phone number to place the call.The call is placed to the person’s nory telephone number.

TYPING THE TELEPHONE NUMBER

On the Jabber home page, tap Call.
Tap the Keypad icon in the lower-right corner.
Enter the phone number you want to call and then tap the Phone icon.

Receive a call
You must be logged in to Jabber to receive a call using your softphone. Settings affect a telephone number regardless whether they are set on your desk phone or your softphone. For example, if your forward your desk phone to voicemail, your softphone is also forwarded to voicemail and you will not receive calls. Changing the setting on one also changes the setting on the other.
When you receive an call, an incoming call window opens on your mobile device.

Tap Answer to accept the call.
Tap Decline to forward the call to voicemail.

Forward and unforward calls
Forwarding sends incoming calls to your nory phone number to your nory voicemail or any other phone number you choose. Unforwarding your calls make them ring on both your desk phone and softphone (when active). Forwarding or unforwarding  calls on your desk phone or softphone affects both phones.
FORWARDING YOUR CALLS

On the Jabber home page, tap Settings.
On the Settings page, tap Call Forwarding.
Tap New number.
Enter a phone number, including 9, 1, area code and seven-digit phone number (e.g., 914159876543) and tap Save.

UNFORWARDING YOUR CALLS

On the Jabber home page, tap Settings.
On the Settings page, tap Call forwarding.
Tap Do not forward calls.

Place a call on hold

Answer the incoming call.
Tap the More icon  to access additional softphone features.
Tap Hold.The call is placed on hold. Tap Resume to resume the call.

Note: When you place someone on hold, they will hear music. If you are on a conference call and answer a second line, the conference call is placed on hold and the conference attendees hear the hold music.
Transfer a call

Answer the incoming call.
Tap the More icon  to access additional softphone features.
Tap Transfer.
Type the name of the person or the phone number that you want to transfer the call to in the Search or call field.
Select the person or number when it appears in the search list. This places the active call on hold and you are connected to that number.
Tap Resume to resume the active call.
Tap the Call Transfer icon .
Tap the End Call icon to end your participation in the call."
Chat,Jabber Multiline,"Jabber Multiline allows you to use up to eight different phone lines within the Jabber client. If you use several phone lines for your daily tasks, Multiline allows you to leverage all the advanced calling capabilities for each line, even when you are away from your desk.
Features
After your multiple lines are configured for use, you can:
Select a preferred line for making callsView missed calls and voicemails on all lines
Multiline supports the following features on all lines:
Call forwarding and transferringConference callsShared line
Limitations
When Multiline is enabled, these features are only available on the primary line:
Call pickupExtend & Connect
When using the Jabber mobile application, you are only able to access your primary phone number.
Get started
To use multiple phone lines with Jabber softphone, University IT needs to configure your softphone accordingly. To request configuration, use OrderIT to request the change.
Requirements
To use Jabber Multiline, you need to be using version 12.0 or higher. You can upgrade your Jabber to a newer version if necessary:
MacWindows
Place calls from different numbers
Use the dropdown menu at the bottom left of your Jabber Hub to choose which line to use to place a call.

 
Receive calls from any number
You can receive a call on any line regardless of the line that is currently selected. Jabber displays the line number being called in the Incoming Call window.

 
See call history
1. Use the dropdown list to view your call history for each line,  and easily identify which line was used for each call.

2. Use the dropdown list to filter your call history by All Calls, Outgoing, Incoming and Missed, and easily identify which line was used for each call.

Get help
For assistance, submit a Help request."
Chat,Using Jabber Chat on a Mac,"Using the chat feature, you can instant message with an individual colleague or a group of colleagues.
Chat basics
CHAT WINDOW

Chat windows contain:

tabs for multiple chats,
contact picture and availability state, and
chat controls and collaboration controls.

CHAT CONTROLS

On the bottom of the chat window, use chat controls to (L–R):

send a file,
send a screen capture,
edit the font,
edit font color, and
insert an emoticon.

COLLABORATION CONTROLS

On the top of the chat window, use collaboration controls to (L–R):

place a softphone call to the chat participant(s),
start a meeting,
share your screen, 
show and hide participant list, or add participants to the chat, and
collapse or expand the options (...).

Start an individual chat

To start a chat, click  in the hub window and then double-click a contact name. You can also search by name, click the contact name, and then click start chatting.

Create and use an ad hoc group chat
An ad hoc group chat lets multiple people simultaneously share chat messages. All participants receive messages sent from any participant in the ad hoc group chat. The group chat ends when all participants are offline.
When in an individual chat, you can create an ad hoc group chat by adding other online participants. Participants must be online to be added to an ad hoc group chat. You cannot create an ad hoc group chat with offline participants.
To create an ad hoc group chat:

Open an individual chat with another online participant.
In the Collaboration Controls toolbar (upper right-hand corner of the chat window), click .
In the People window, select Add People.
Type the name of an additional person you’d like to add to the group chat and select them when they appear in the search results. Repeat this step until all participants appear in the People field. Alternatively, you may select among your more recent contacts which are featured as Suggested People below the search field.
Click Start Group Chat. You can start chatting with the group in the same way you do with an individual chat.


Create and use a persistent group chat
A persistent chat group is enduring, unlike an ad hoc group. They are always available, whether on not all participants are online. They can be private (i.e., limited to just the people invited by the owner) or public (i.e., accessible to anyone who wants to join).
See How to Request a Persistent Chat Room for more details.

Once your persistent chat room is created, you can click  in the Jabber hub.
Double click on the chat room you want to use. You can start chatting with the chat room members in the same way you do with an individual chat.

Chatting with people from other nory affiliations
You can use Jabber to chat with colleagues regardless of whether they are part of the university, nory Health Care (SHC) or nory Children’s Health (SCH). The procedures are a little different depending on your primary affiliation and the affiliation of the colleague.
See Chatting with People from Other nory Affiliations for more details and instructions."
Chat,Jabber for iOS Softphone Preferences,"Set your audio and video preferences

In the Hub window, tap your profile picture in the upper-left corner to display the Settings window. 
Tap Settings. 
Tap Audio and Video to access your call settings. 
Audio — for Default Audio Output, Jabber automatically selects Receiver or Speaker. If a Bluetooth headset is connected via the  iOS settings (Settings > Bluetooth and the Bluetooth headset is selected under My Devices), you can select the audio output of choice.Video — the default setting is to always start calls with video. To disable this setting, turn the Video Send Automatically setting off. You can enable video once the call is established if you wish."
Chat,How to Chat and Add Contacts with Jabber for Android,"Using the chat feature, you can instant message with an individual colleague or a group of colleagues.
Chat basics
CHAT WINDOW
Chat windows contain:

message history,
area to type your messages, and
tools to add emoticons, access the chat tools, or place a softphone call to the chat participant.

Start an individual chat

On the Jabber home page, tap Contacts.
Tap the contact name of the person with whom you want to chat. You can also search by name and tap the appropriate contact name in the search results.The Chat window for that contact opens.
Type your message and tap the Send icon.The recipient receives your message and whichever device(s) on which they are currently logged in to Jabber.

Create and use an ad hoc group chat
An ad hoc group chat lets multiple people simultaneously share chat messages. All participants receive messages sent from any participant in the ad hoc group chat. The group chat ends when all participants are offline.
When in an individual chat, you can create an ad hoc group chat by adding other online participants. Participants must be online to be added to an ad hoc group chat. You cannot create an ad hoc group chat with offline participants.

On the Jabber home page, tap Chats.
Tap the  Add to chat icon  in the bottom-right corner.The Start chat window opens.
In the To: field, type the name of an additional person you’d like to add to the group chat and select them when they appear in the search results. Repeat this step until all participants appear in the To: field. Alternatively, you can select among your more recent contacts in the list displayed.
Tap Done.You can start chatting with the group in the same way you do with an individual chat.

Create and use a persistent group chat
A persistent chat group is enduring, unlike an ad hoc group. They are always available, whether on not all participants are online. They can be private (i.e., limited to just the people invited by the owner) or public (i.e., accessible to anyone who wants to join).
See How to Request a Persistent Chat Room for more details.
Unfortunately, you cannot join a persistent group chat from a mobile device.  You must use a Windows or Mac computer.
Chatting with people from other nory affiliations
You can use Jabber to chat with colleagues regardless of whether they are part of the university, nory Health Care (SHC) or nory Children’s Health (SCH). The procedures are a little different depending on your primary affiliation and the affiliation of the colleague.
See Chatting with People from Other nory Affiliations for more details and instructions."
Chat,Using Jabber Chat on an iOS Device,"Using the chat feature, you can instant message with an individual colleague or a group of colleagues.
Chat basics
CHAT WINDOW

Chat windows contain:

message history,
area to type your messages, and
tools to upload a file, add a photo, take a photo, search cached files, add emoticons, or place a softphone call to the chat participant.

Start an individual chat

To start a chat, tap  in the hub window.
Tap the contact name of the person with whom you want to chat. You can also search by name and tap the appropriate contact name in the search results.The Chat window for that contact opens.
Type your message and tap Send.The recipient receives your message and whichever device(s) on which they are currently logged in to Jabber.

Create and use an ad hoc group chat
An ad hoc group chat lets multiple people simultaneously share chat messages. All participants receive messages sent from any participant in the ad hoc group chat. The group chat ends when all participants are offline.
When in an individual chat, you can create an ad hoc group chat by adding other online participants. Participants must be online to be added to an ad hoc group chat. You cannot create an ad hoc group chat with offline participants.
To create an ad hoc group chat:
1. Open an individual chat with another online participant.
2. Select the > next to their name.
3. Tap Add participants.The Start Chat window opens.

4. In the Add More field, type the name of an additional person you’d like to add to the group chat and select them when they appear in the search results. Repeat this step until all participants appear in the Add More field. Alternatively, you may select among your more recent contacts in the Recent Contacts list displayed.
5. Tap Done.You can start chatting with the group in the same way you do with an individual chat.
Create and use a persistent group chat
A persistent chat group is enduring, unlike an ad hoc group. They are always available, whether on not all participants are online. They can be private (i.e., limited to just the people invited by the owner) or public (i.e., accessible to anyone who wants to join).
See How to Request a Persistent Chat Room for more details.
Chatting with people from other nory affiliations
You can use Jabber to chat with colleagues regardless of whether they are part of the university, nory Health Care (SHC) or nory Children’s Health (SCH). The procedures are a little different depending on your primary affiliation and the affiliation of the colleague.
See Chatting with People from Other nory Affiliations for more details and instructions."
